App,Sentiment,Tema,Word,Frequency
Boo,neutral,Primeros Pasos e Introducción al Sistema,come,10
Boo,neutral,Primeros Pasos e Introducción al Sistema,well,10
Boo,neutral,Primeros Pasos e Introducción al Sistema,look,10
Boo,neutral,Primeros Pasos e Introducción al Sistema,need,10
Boo,neutral,Primeros Pasos e Introducción al Sistema,ask,9
Boo,neutral,Primeros Pasos e Introducción al Sistema,bit,9
Boo,neutral,Valoración del Modelo de Suscripción,ok,55
Boo,neutral,Valoración del Modelo de Suscripción,not_bad,26
Boo,neutral,Valoración del Modelo de Suscripción,pay,17
Boo,neutral,Valoración del Modelo de Suscripción,time,14
Boo,neutral,Valoración del Modelo de Suscripción,match,14
Boo,neutral,Valoración del Modelo de Suscripción,rate,13
Boo,neutral,Valoración del Modelo de Suscripción,fun,13
Boo,neutral,Valoración del Modelo de Suscripción,app,12
Boo,neutral,Valoración del Modelo de Suscripción,swipe,12
Boo,neutral,Valoración del Modelo de Suscripción,profile,12
Boo,neutral,Valoración del Modelo de Suscripción,review,10
Boo,neutral,Valoración del Modelo de Suscripción,day,10
Boo,neutral,Valoración del Modelo de Suscripción,star,9
Boo,neutral,Valoración del Modelo de Suscripción,change,9
Boo,neutral,Valoración del Modelo de Suscripción,potential,8
Boo,neutral,Valoración del Modelo de Suscripción,tell,8
Boo,neutral,Valoración del Modelo de Suscripción,fine,8
Boo,neutral,Valoración del Modelo de Suscripción,people,7
Boo,neutral,Valoración del Modelo de Suscripción,look,7
Boo,neutral,Valoración del Modelo de Suscripción,real,7
Boo,neutral,Valoración del Modelo de Suscripción,okay,7
Boo,neutral,Valoración del Modelo de Suscripción,need,6
Boo,neutral,Valoración del Modelo de Suscripción,have,6
Boo,neutral,Valoración del Modelo de Suscripción,start,6
Boo,neutral,Valoración del Modelo de Suscripción,high,6
Boo,neutral,Valoración del Modelo de Suscripción,experience,6
Boo,neutral,Valoración del Modelo de Suscripción,bit,6
Boo,neutral,Valoración del Modelo de Suscripción,que,6
Boo,neutral,Valoración del Modelo de Suscripción,decent,5
Boo,neutral,Valoración del Modelo de Suscripción,find,5
Boo,positive,Buena Experiencia de Usuario,cool,156
Boo,positive,Buena Experiencia de Usuario,fun,119
Boo,positive,Buena Experiencia de Usuario,not_bad,47
Boo,positive,Buena Experiencia de Usuario,skin_tone,31
Boo,positive,Buena Experiencia de Usuario,work,28
Boo,positive,Buena Experiencia de Usuario,tone,27
Boo,positive,Buena Experiencia de Usuario,easy_navigate,25
Boo,positive,Buena Experiencia de Usuario,que,25
Boo,positive,Buena Experiencia de Usuario,okay,24
Boo,positive,Buena Experiencia de Usuario,fine,23
Boo,positive,Buena Experiencia de Usuario,thumb_light,21
Boo,positive,Buena Experiencia de Usuario,application,20
Boo,positive,Buena Experiencia de Usuario,match_base,18
Boo,positive,Buena Experiencia de Usuario,heart_hand,18
Boo,positive,Buena Experiencia de Usuario,personality_photo,16
Boo,positive,Buena Experiencia de Usuario,explore,15
Boo,positive,Buena Experiencia de Usuario,make_friend,15
Boo,positive,Buena Experiencia de Usuario,ui_clean,15
Boo,positive,Buena Experiencia de Usuario,la,13
Boo,positive,Buena Experiencia de Usuario,not_sure,13
Boo,positive,Buena Experiencia de Usuario,guess,13
Boo,positive,Buena Experiencia de Usuario,easy,13
Boo,positive,Buena Experiencia de Usuario,point,13
Boo,positive,Buena Experiencia de Usuario,medium_skin,13
Boo,positive,Buena Experiencia de Usuario,buena,11
Boo,positive,Buena Experiencia de Usuario,es,11
Boo,positive,Buena Experiencia de Usuario,match,11
Boo,positive,Buena Experiencia de Usuario,el,11
Boo,positive,Buena Experiencia de Usuario,joy,11
Boo,positive,Buena Experiencia de Usuario,beautiful,11
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,people,259
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,app,157
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,awesome,120
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,look,116
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,well,112
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,match,104
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,profile,84
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,free,83
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,different,82
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,ok,75
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,easy,75
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,feature,69
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,decent,68
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,user,60
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,pay,59
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,want,57
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,cute,56
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,find,53
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,message,52
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,coin,48
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,friend,47
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,need,45
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,red_heart,45
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,interesting,44
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,work,44
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,like,44
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,fun,44
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,experience,43
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,new,40
Boo,positive,Calidad de la Comunidad y Perfiles Autenticos,see,38
Boo,positive,Eficacia en el Descubrimiento de Personas,people,215
Boo,positive,Eficacia en el Descubrimiento de Personas,good,128
Boo,positive,Eficacia en el Descubrimiento de Personas,find,121
Boo,positive,Eficacia en el Descubrimiento de Personas,meet,109
Boo,positive,Eficacia en el Descubrimiento de Personas,easy,105
Boo,positive,Eficacia en el Descubrimiento de Personas,smile_face,91
Boo,positive,Eficacia en el Descubrimiento de Personas,friend,79
Boo,positive,Eficacia en el Descubrimiento de Personas,interesting,65
Boo,positive,Eficacia en el Descubrimiento de Personas,smile_eye,42
Boo,positive,Eficacia en el Descubrimiento de Personas,try,41
Boo,positive,Eficacia en el Descubrimiento de Personas,meet_new,41
Boo,positive,Eficacia en el Descubrimiento de Personas,real,39
Boo,positive,Eficacia en el Descubrimiento de Personas,heart,38
Boo,positive,Eficacia en el Descubrimiento de Personas,enjoy,37
Boo,positive,Eficacia en el Descubrimiento de Personas,app,37
Boo,positive,Eficacia en el Descubrimiento de Personas,match,36
Boo,positive,Eficacia en el Descubrimiento de Personas,useful,30
Boo,positive,Eficacia en el Descubrimiento de Personas,cool,28
Boo,positive,Eficacia en el Descubrimiento de Personas,start,28
Boo,positive,Eficacia en el Descubrimiento de Personas,recommend,27
Boo,positive,Eficacia en el Descubrimiento de Personas,know,26
Boo,positive,Eficacia en el Descubrimiento de Personas,love,25
Boo,positive,Eficacia en el Descubrimiento de Personas,talk,25
Boo,positive,Eficacia en el Descubrimiento de Personas,new_friend,23
Boo,positive,Eficacia en el Descubrimiento de Personas,interface,22
Boo,positive,Eficacia en el Descubrimiento de Personas,world,21
Boo,positive,Eficacia en el Descubrimiento de Personas,new,21
Boo,positive,Eficacia en el Descubrimiento de Personas,hope,21
Boo,positive,Eficacia en el Descubrimiento de Personas,superb,20
Boo,positive,Eficacia en el Descubrimiento de Personas,fun,19
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,experience,116
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,start,108
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,thumb,101
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,time,76
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,match,74
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,app,70
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,excellent,66
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,new,53
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,personality,50
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,super,42
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,feature,41
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,hand,41
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,people,35
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,think,34
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,go,30
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,find,30
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,good,29
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,interesting,28
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,personality_test,26
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,well,26
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,unique,25
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,fun,25
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,look,25
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,learn,24
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,get,24
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,perfect,24
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,come,22
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,site,21
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,face,21
Boo,positive,Optimizacion del Tiempo y Éxito en Matches,sure,20
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,pay,967
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,people,927
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,match,785
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,profile,568
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,like,519
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,month,305
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,app,277
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,want,263
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,woman,255
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,money,223
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,free,222
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,show,221
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,time,219
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,day,208
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,subscription,206
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,find,189
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,look,177
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,get,165
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,man,165
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,go,164
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,message,159
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,delete,157
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,option,156
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,preference,146
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,think,145
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,rose,143
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,person,141
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,algorithm,141
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,filter,139
Hinge,negative,Barreras de Pago y Limitaciones de Monetización,meet,139
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,profile,192
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,people,167
